id,title,country,country_code,region,sub_region,trip_type,trip_type_id,duration_days,best_period_months,best_period_window,budget_tier,budget_low_eur,budget_high_eur,acc_low,acc_high,food_low,food_high,trans_low,trans_high,act_low,act_high,difficulty,fitness_level,basecamps,gateway_airport,gateway_airport_code,currency,languages,tags,lat,lon,coord_precision,verify_flag_count,word_count,source_batch,source_file
fr-cycling-loire-a-velo,La Loire à Vélo — Orléans to Saumur on EuroVelo 6,France,FR,Western & Central Europe,"Loire Valley, Centre-Val de Loire and Anjou",Cycling Trips,1,7,May|June|September|October,May and June for the gardens at Villandry and Chaumont; September for warm water in the Loire and empty châteaux after the French holidays end.,€€,1000,1500,480,700,280,400,110,180,130,220,1,Easy,"Point-to-point, Orléans to Saumur",Paris (CDG),CDG,EUR,French,loire-a-velo|eurovelo-6|chateaux|accueil-velo|family,47.9025,1.9041,city,0,2111,western-central,cartatripsv1/trips/fr-cycling-loire-a-velo.md
gr-cycling-peloponnese-arcadia,Peloponnese: Arcadia & the Argolid,Greece,GR,Southern & Mediterranean Europe,Peloponnese — Arcadia & the Argolid,Cycling Trips,1,7,March|April|May|June|September|October|November,Late March–early June & mid-September–early November,€€,1200,1900,520,900,280,440,200,340,200,220,4,Demanding,,"ATH Athens Eleftherios Venizelos, 2 h to Nafplio by road; KLX Kalamata is 2 h 15 min to Dimitsana",ATH,,,road-cycling|gravel|leonidio|arcadia|lousios-gorge|nafplio|mountain-climbs|ancient-sites,37.9838,23.7278,country,0,2778,southern-mediterranean,carta-dataset/trips/cycling-greece-peloponnese-arcadia.md
hr-cycling-istria-parenzana,Istria: The Parenzana & the Hilltowns,Croatia,HR,Southern & Mediterranean Europe,Istria,Cycling Trips,1,7,April|May|June|September|October,Late April–mid-June & September–end October,€€,1200,1850,560,950,320,520,140,260,260,320,3,Active,,"TRS Trieste–Ronchi, 75 min to Buje; PUY Pula, 60 min to Motovun; LJU and VCE both around 2 h 30 min",TRS,,,parenzana|rail-trail|gravel|hilltowns|truffles|motovun|ucka|malvazija,45.8144,15.978,country,0,2660,southern-mediterranean,carta-dataset/trips/cycling-croatia-istria-parenzana.md
hu-cycling-balaton-ring,The Balaton Ring: Seven Days Around Hungary's Inland Sea,Hungary,HU,Eastern & Southeastern Europe,Lake Balaton & the Balaton Uplands (Balaton-felvidék),Cycling Trips,1,7,May|June|September,"mid-May to mid-June, then the first three weeks of September",€€,695,1130,330,560,175,260,120,190,70,120,3,Moderate,Balatonfüred|Tihany|Badacsony|Szigliget|Keszthely|Balatonalmádi,"Budapest Ferenc Liszt (BUD), then MÁV line 26 (Kelenföld → Balatonfüred → Tapolca, 2 h 10) north shore, or line 29 (Székesfehérvár → Siófok → Nagykanizsa) south. Hévíz-Balaton (SOB) has limited seasonal traffic [VERIFY: 2026 SOB routes].",BUD,Hungarian forint (HUF),Hungarian,cycling|lake|wine|volcanic-hills|thermal-baths|gravel|family-friendly,46.7681,17.2432,city,8,2192,eastern-southeastern,cartaeasterneuropetrips/trips/hungary-balaton-ring-cycling.md
it-cycling-puglia-valle-itria,Valle d'Itria & Salento by Bike,Italy,IT,Southern & Mediterranean Europe,Puglia — Valle d'Itria & Salento,Cycling Trips,1,7,March|April|May|June|September|October|November,Late March–mid-June & mid-September–early November,€€,1250,2100,520,1050,300,460,150,290,280,300,3,Active,,"BRI Bari Karol Wojtyła, 65 min to Locorotondo; BDS Brindisi Salento is 45 min to Ostuni and 40 min to Lecce",BRI,,,trulli|masseria|valle-ditria|salento|gravel|coastal-riding|primitivo|olive-groves,41.8919,12.5113,country,0,2621,southern-mediterranean,carta-dataset/trips/cycling-italy-puglia-valle-itria.md
lu-cycling-pc-network-moselle-mullerthal,Luxembourg on the PC Network,Luxembourg,LU,Western & Central Europe,Moselle Valley and Mullerthal,Cycling Trips,1,7,May|June|September|October,Mid-September puts you on the Moselle during the grape harvest and the Riesling festivals in Grevenmacher and Wormeldange.,€€,820,1200,420,620,220,300,40,80,140,200,3,Active,Remich and Echternach,Luxembourg (LUX),LUX,EUR,Luxembourgish|French|German,pc-routes|eurovelo-5|moselle-cremant|mullerthal|free-transport,49.6098,6.1327,gateway,0,2000,western-central,cartatripsv1/trips/lu-cycling-pc-network-moselle-mullerthal.md
md-cycling-country,Gravel in the Codru: Seven Days Through Moldova's Wine Hills,Moldova,MD,Eastern & Southeastern Europe,"Codru hills — Strășeni, Nisporeni, Călărași, Orhei",Cycling Trips,1,7,May|June|September,"the first three weeks of September — harvest, hard dry clay, and 25 °C instead of 35 °C",€,480,870,190,330,110,180,110,230,70,130,3,Moderate,Strășeni|Lozova|Nisporeni|Călărași|Butuceni,"Chișinău International (KIV), 13 km from town. Bring your own bike boxed if you can — rental stock in Moldova is thin and mostly hardtail MTB rather than gravel.",KIV,Moldovan leu (MDL),Romanian|Russian,gravel|wine|monasteries|codru|self-supported|dogs|rural,47.1422,28.6077,city,6,2458,eastern-southeastern,cartaeasterneuropetrips/trips/moldova-wine-country-cycling.md
me-cycling-kotor-lovcen,Kotor Serpentine & Lovćen: 25 Hairpins Above the Boka,Montenegro,ME,Southern & Mediterranean Europe,"Bay of Kotor, Lovćen NP & the Old Royal Capital",Cycling Trips,1,7,April|May|June|September|October,Late April–mid-June & mid-September–late October,€€,1050,1650,400,700,230,380,180,320,240,300,4,Demanding,,TIV Tivat — 25 min drive / 22 km ride to Kotor; PDG Podgorica 1 h 30 min; DBV Dubrovnik 2 h with a land border that can add 90 min in summer,TIV,,,climbing|serpentines|lovcen|bay-of-kotor|gravel-option|mountain-passes|non-eu|ferry-hop,42.4412,19.2631,country,0,3335,southern-mediterranean,carta-dataset/trips/cycling-montenegro-kotor-lovcen.md
nl-cycling-green-heart-waterline,The Waterline Ride from Amsterdam to Kinderdijk,Netherlands,NL,Western & Central Europe,"Groene Hart, Utrecht and Zuid-Holland",Cycling Trips,1,7,April|May|June|September,Late April gives bulb fields and long light; the forts of the waterline mostly open from April to October only.,€€,980,1470,520,780,260,360,90,150,110,180,2,Moderate,Utrecht,Amsterdam Schiphol (AMS),AMS,EUR,Dutch|English,knooppunten|waterlinieroute|unesco-forts|polder-riding|ferry-hopping,52.0908,5.1222,city,0,1963,western-central,cartatripsv1/trips/nl-cycling-green-heart-waterline.md
nl-cycling-wadden-frisian-dikes,Frisian Dikes and the Wadden Coast,Netherlands,NL,Western & Central Europe,Friesland and Groningen,Cycling Trips,1,7,May|June|July|September,May and September carry the wader migrations across the Wadden mudflats; July has the longest evenings and the fullest ferries.,€€,850,1260,430,640,230,320,110,180,80,120,3,Active,Leeuwarden,Amsterdam Schiphol (AMS),AMS,EUR,Dutch|Frisian,waddenzeeroute|eurovelo-12|ameland-ferry|sea-dikes|elfstedenroute,53.2027,5.8097,city,0,1988,western-central,cartatripsv1/trips/nl-cycling-wadden-frisian-dikes.md
pl-cycling-green-velo-podlasie,"Green Velo Through Podlasie: Marsh, Forest and the Eastern Trail",Poland,PL,Eastern & Southeastern Europe,"Podlaskie — Puszcza Knyszyńska, Narew & Biebrza valleys, Puszcza Białowieska",Cycling Trips,1,7,May|June|September,"the second half of May, when the Biebrza marshes are at their loudest and the aquatic warblers and great snipe are displaying",€€,560,950,230,420,120,190,150,230,60,110,2,Moderate,Białystok|Supraśl|Kurowo/Łapy|Tykocin|Goniądz|Białowieża,"Warsaw Chopin (WAW) or Modlin (WMI), then PKP Intercity Warszawa Centralna → Białystok, roughly 2 h 20 on the fastest services. Białystok also has a small airport at Krywlany with negligible traffic. Return from Białowieża via Hajnówka, the nearest passenger railhead, 20 km away.",WAW,Polish złoty (PLN),Polish|Belarusian|Lithuanian,cycling|green-velo|marshland|birdwatching|bison|national-parks|jewish-heritage,53.1333,23.1643,city,8,3092,eastern-southeastern,cartaeasterneuropetrips/trips/poland-green-velo-podlasie-cycling.md
pt-cycling-alentejo-costa-vicentina,Alentejo & Costa Vicentina Gravel,Portugal,PT,Southern & Mediterranean Europe,Alentejo & Costa Vicentina,Cycling Trips,1,7,March|May|September|October|November,Mid-March–May & late September–early November,€€,1150,1850,490,880,260,420,200,330,200,220,4,Demanding,,"LIS Lisbon Humberto Delgado, 1 h 30 min to Évora; FAO Faro, 1 h 45 min to Mértola and 2 h to Vila Nova de Milfontes",LIS,,,gravel|montado|alqueva|rota-vicentina|cork-oak|dark-sky|atlantic-coast|alentejo,38.7251,-9.1498,country,0,3012,southern-mediterranean,carta-dataset/trips/cycling-portugal-alentejo-costa-vicentina.md
ro-cycling-via-transilvanica,Andesite Milestones: A Gravel Week on the Via Transilvanica,Romania,RO,Eastern & Southeastern Europe,"Terra Saxonica and Terra Siculorum — the Saxon villages of Mureș, Brașov and Sibiu counties",Cycling Trips,1,7,May|June|September,"the first three weeks of September — hay cut, tracks dry, hills green, and the clay hard enough to ride",€,610,1060,230,400,140,210,180,330,60,120,3,Moderate,Sighișoara|Viscri|Rupea|Mediaș,"Fly into Sibiu (SBZ), Târgu Mureș (TGM) or Cluj (CLJ). CFR trains reach Sighișoara from Brașov (2 h 15), Cluj (3 h 30) and Bucharest (4 h 30–5 h). Finish on a train or flight out of Sibiu.",SBZ,Romanian leu (RON) — roughly 5.0–5.3 RON to the euro during 2026,"Romanian|Hungarian|German (residually, in the Saxon villages)",gravel|via-transilvanica|saxon-villages|viscri|shepherd-dogs|bikepacking|transylvania,46.2214,24.7928,city,5,2588,eastern-southeastern,cartaeasterneuropetrips/trips/romania-via-transilvanica-cycling.md
se-cycling-kattegattleden-gothenburg-helsingborg,Kattegattleden: Gothenburg to Helsingborg,Sweden,SE,Northern Europe & Baltics,Halland & northwest Skåne coast,Cycling Trips,1,7,May|June|July|August|September,May to late September; warmest swimming July–August; best light and empty roads late August–mid September,€€,1150,1650,95,170,50,75,150,220,50,90,1,Easy,Gothenburg|Varberg|Falkenberg|Halmstad|Båstad|Helsingborg,,,SEK (Swedish krona),Swedish|English,,57.0,12.25,source,0,1385,northern-baltics,carta_northern_europe_baltics_trips.md#trip-02
si-cycling-soca-brda,Soča Valley & Goriška Brda Gravel Week,Slovenia,SI,Southern & Mediterranean Europe,"Soča Valley, Kolovrat & Goriška Brda",Cycling Trips,1,7,May|June|September|October,Mid-May–late June & early September–mid-October,€€,1350,1950,560,840,300,480,180,310,310,320,4,Demanding,,"TRS Trieste–Ronchi dei Legionari, 75 min drive to Kobarid; LJU Ljubljana 1 h 50 min; VCE Venice 2 h 15 min",TRS,,,gravel|kolovrat|soca-valley|goriska-brda|wine-cycling|border-crossing|ww1-history|orange-wine,46.0511,14.5051,country,0,2407,southern-mediterranean,carta-dataset/trips/cycling-slovenia-soca-brda.md
sk-cycling-vah-danube,Two Rivers: The Váh Cycle Trunk and the Danube Dyke from Žilina to Štúrovo,Slovakia,SK,Eastern & Southeastern Europe,Považie (the Váh valley) and the Slovak Danube,Cycling Trips,1,7,May|June|September,"the first three weeks of September — warm, dry, the Danube dyke empty of Austrian weekend traffic",€,575,950,245,420,160,230,120,210,50,90,2,Moderate,Žilina|Trenčín|Bratislava|Komárno,"Fly Bratislava (BTS) or Vienna (VIE); ZSSK train Bratislava → Žilina, 2 h 20, bikes carried. Return from Štúrovo by train to Bratislava (~2 h 15) or cross the Mária Valéria bridge for Esztergom and Budapest.",BTS,Euro (EUR),Slovak|Hungarian (Komárno and the south),cycling|eurovelo-6|danube|vah|castles|spa|river-touring,49.2231,18.7394,city,8,2360,eastern-southeastern,cartaeasterneuropetrips/trips/slovakia-vah-danube-cycling.md
at-trail-running-innsbruck-nordkette,Nordkette Skyline — A Running Week Above Innsbruck,Austria,AT,Western & Central Europe,"Karwendel & Tuxer Alps, Tyrol",Trail Running,2,7,June|July|August|September,Old snow lingers in the north-facing gullies of the Karwendel until late June; September gives the cleanest rock and the shortest lift queues.,€€,780,1120,340,480,190,270,130,200,120,170,4,Demanding,Innsbruck,Innsbruck (INN),INN,EUR,German,ridgeline|lift-assisted-vert|karwendel|alpine-huts|recovery-structured,47.2627,11.3945,city,0,1970,western-central,cartatripsv1/trips/at-trail-running-innsbruck-nordkette.md
be-trail-running-hautes-fagnes,Boardwalks and Bog — Running the Hautes Fagnes,Belgium,BE,Western & Central Europe,"Hautes Fagnes & Amblève Valley, Liège Province",Trail Running,2,7,May|June|September|October,"The plateau closes to walkers during high fire risk in dry spring spells; late September gives dry boardwalks, russet moor grass and no ticks.",€€,700,1000,300,430,180,260,140,200,80,110,3,Active,Malmedy,Brussels (BRU),BRU,EUR,French|German,moorland|boardwalks|gr-routes|volume-block|low-altitude,50.8505,4.3488,gateway,0,2174,western-central,cartatripsv1/trips/be-trail-running-hautes-fagnes.md
bg-trail-running-rila-pirin,"Musala to Vihren: A Rila and Pirin Running Week Above 2,500 m",Bulgaria,BG,Eastern & Southeastern Europe,"Rila and Pirin (Govedartsi, Borovets, Bansko)",Trail Running,2,7,July|August|September,"mid-August to the end of September — snowfields gone from the Musala couloirs, storm frequency falling, lifts still turning",€,410,870,180,300,140,210,90,160,0,200,4,Demanding,Govedartsi|Borovets|Bansko,"Sofia (SOF) is 75 km from Govedartsi and Borovets — one hour by transfer, or bus to Samokov then a local minibus. Bansko is 2 h 45 from Sofia by direct bus, or 2 h from Borovets over the Yundola road.",SOF,Euro (EUR) — sole legal tender since 1 February 2026; mandatory dual BGN display ended 8 August 2026,Bulgarian,trail-running|rila|pirin|musala|vihren|seven-lakes|high-altitude|granite,42.6975,23.3241,gateway,7,2145,eastern-southeastern,cartaeasterneuropetrips/trips/bulgaria-rila-pirin-trail-running.md
ch-trail-running-engadin-ridges,Thin Air — The Engadin Ridge Week,Switzerland,CH,Western & Central Europe,"Oberengadin, Graubünden",Trail Running,2,7,July|August|September,"Piz Languard's summit ridge holds snow into early July, and the high huts shut in early October.",€€€,1500,2200,750,1100,400,600,200,300,150,200,4,Demanding,Pontresina,Zürich (ZRH),ZRH,CHF,German|Romansh|Italian,high-altitude|altitude-training|lift-assisted|hut-support|ridge-running,47.3667,8.55,gateway,0,2158,western-central,cartatripsv1/trips/ch-trail-running-engadin-ridges.md
cz-trail-running-krkonose-ridge,The Main Ridge — Running the Krkonoše Border Path,Czechia,CZ,Western & Central Europe,"Krkonoše (Giant Mountains), Hradec Králové Region",Trail Running,2,7,June|July|August|September,"Several ridge and glacial-cirque paths are legally closed 1 November to 31 May for grouse and vegetation; June is open, empty and still cold up top.",€,520,780,230,330,130,200,90,140,70,110,3,Demanding,Špindlerův Mlýn,Prague (PRG),PRG,CZK,Czech,main-ridge|border-trail|mountain-huts|snezka|weather-exposed,50.088,14.4208,gateway,0,2470,western-central,cartatripsv1/trips/cz-trail-running-krkonose-ridge.md
de-trail-running-berchtesgaden,Watzmann Weeks — Running the Berchtesgaden Ridges,Germany,DE,Western & Central Europe,"Berchtesgadener Land, Bavaria",Trail Running,2,7,June|July|August|September,North-facing gullies below the Watzmann and Hochkalter hold old snow into late June.,€€,780,1180,380,560,220,320,90,150,90,150,4,Demanding,Schönau am Königssee,Salzburg (SZG),SZG,EUR,German,alpine-running|national-park|vertical-gain|hut-support|lift-assisted,52.5244,13.4105,country,0,2024,western-central,cartatripsv1/trips/de-trail-running-berchtesgaden.md
es-trail-running-sierra-nevada-alpujarras,Sierra Nevada & Las Alpujarras,Spain,ES,Southern & Mediterranean Europe,Andalucía — Sierra Nevada National Park & the Alpujarra Granadina,Trail Running,2,7,May|June|September|October,Late May–late June & mid-September–late October,€€,950,1520,380,620,190,300,300,440,80,160,4,Demanding,,GRX — Granada Federico García Lorca (1 h 15 to Capileira); AGP — Málaga is 2 h 15 and usually has better fares,GRX,,,trail-running|sierra-nevada|alpujarras|mulhacen|veleta|gr-7|acequias|high-altitude|andalucia|poqueira,40.4165,-3.7026,country,0,3037,southern-mediterranean,carta-dataset/trips/trail-running-spain-sierra-nevada-alpujarras.md
fo-trail-running-faroese-ridgelines-streymoy-vagar,Faroese Ridgelines: Streymoy & Vágar,Faroe Islands,FO,Northern Europe & Baltics,"Streymoy, Vágar and Eysturoy",Trail Running,2,7,May|June|July|August|September,Late May to early September. June and July give near-endless daylight; September brings the clearest air but the first autumn gales,€€€,1700,2500,120,200,55,85,250,380,80,200,4,Demanding,Tórshavn|Sørvágur|Gjógv,,,DKK / Faroese króna (pegged 1:1 to DKK),Faroese|Danish|English,,62.01,-6.77,source,0,1554,northern-baltics,carta_northern_europe_baltics_trips.md#trip-05
fr-trail-running-chamonix-balcons,The Balcons — A Chamonix Running Week Facing Mont Blanc,France,FR,Western & Central Europe,"Vallée de Chamonix-Mont-Blanc, Haute-Savoie",Trail Running,2,7,July|August|September,Lac Blanc and the Aiguillette des Posettes hold hard snow into early July; most refuges shut between mid and late September.,€€€,1250,1800,560,800,280,400,180,280,230,320,4,Demanding,Chamonix-Mont-Blanc,Geneva (GVA),GVA,EUR,French,balcon-trails|utmb-terrain|lift-assisted|high-alpine|glacier-views,48.8534,2.3488,country,0,2485,western-central,cartatripsv1/trips/fr-trail-running-chamonix-balcons.md
fr-trail-running-mercantour-vesubie,High Cols and Engraved Rock — Mercantour by Vésubie and Merveilles,France,FR,Western & Central Europe,"Parc national du Mercantour, Alpes-Maritimes",Trail Running,2,7,July|August|September,"The cols above 2,400 m hold snow into early July and the CAF refuges close between mid and late September, after which there is no staffed water above the valleys.",€€,900,1300,400,560,220,320,180,260,100,160,4,Demanding,Saint-Martin-Vésubie,Nice Côte d'Azur (NCE),NCE,EUR,French,national-park|high-cols|refuges|rock-engravings|remote,48.8534,2.3488,country,0,2537,western-central,cartatripsv1/trips/fr-trail-running-mercantour-vesubie.md
gr-trail-running-zagori-vikos,Zagori & the Vikos Gorge,Greece,GR,Southern & Mediterranean Europe,"Pindus Mountains, Epirus (Zagorochoria & Mt Tymfi)",Trail Running,2,7,May|June|September|October,Mid-May–late June & mid-September–late October,€€,930,1530,430,720,180,280,260,380,60,150,4,Demanding,,"IOA — Ioannina ""King Pyrrhus"" (45 min to Monodendri, 1 h 15 to Papingo); fallback PVK — Preveza/Aktion, 2 h 15",IOA,,,trail-running|vikos-gorge|tymfi|zagori|limestone|drakolimni|o3-waymarks|mountain-refuge|epirus|kalderimi,37.9838,23.7278,country,0,2505,southern-mediterranean,carta-dataset/trips/trail-running-greece-zagori-vikos.md
hr-trail-running-velebit-premuzic,Velebit Dry-Stone: Running the Premužić Trail,Croatia,HR,Southern & Mediterranean Europe,"Lika, Northern Velebit NP & Paklenica",Trail Running,2,7,June|July|September|October,Mid-June–early July & September–mid-October,€€,780,1250,300,520,160,260,190,330,130,180,4,Demanding,,"ZAD Zadar — 55 min to Starigrad-Paklenica, 2 h 15 min to Krasno; RJK Rijeka 1 h 45 min to Senj; ZAG Zagreb 2 h 30 min to Krasno",ZAD,,,karst|premuzic-trail|dry-stone|velebit|paklenica|bura|self-supported|mountain-huts,44.1158,15.2251,gateway,0,3612,southern-mediterranean,carta-dataset/trips/trail-running-croatia-velebit-premuzic.md
hu-trail-running-bukk-matra,Blue Blazes and Dry Karst: A Trail-Running Week in the Bükk and the Mátra,Hungary,HU,Eastern & Southeastern Europe,Északi-középhegység — the Bükk and Mátra ranges,Trail Running,2,7,April|May|September|October,"late April to mid-May, and the last two weeks of September into mid-October",€,305,550,145,265,90,140,45,80,25,65,4,Demanding,Szilvásvárad|Eger|Mátrafüred|Galyatető,"Budapest (BUD). Train Budapest-Keleti → Eger via Füzesabony, ~2 h; bus Eger → Szilvásvárad, ~45 min. Home: Gyöngyös → Vámosgyörk → Budapest, ~1 h 45.",BUD,Hungarian forint (HUF),Hungarian,trail-running|karst|orszagos-kektura|kekesteto|bukk-plateau|forest-singletrack|dry-mountain,47.9027,20.3733,city,10,2499,eastern-southeastern,cartaeasterneuropetrips/trips/hungary-bukk-matra-trail-running.md
ie-trail-running-wicklow-granite-dublin-mountains-lugnaquilla,Wicklow Granite: Dublin Mountains to Lugnaquilla,Ireland,IE,Northern Europe & Baltics,County Wicklow / Dublin Mountains,Trail Running,2,7,May|June|July|August|September|October,May to early October. May–June for long light and drier bog; September for firm ground and heather; avoid February–March when the peat is saturated,€€,900,1350,90,160,45,70,120,200,30,70,4,Demanding,Roundwood|Glendalough|Glenmalure|Enniskerry,,,EUR,English|Irish,,53.01,-6.33,source,0,1606,northern-baltics,carta_northern_europe_baltics_trips.md#trip-06
it-trail-running-dolomites-cortina,Cortina d'Ampezzo Ridgelines,Italy,IT,Southern & Mediterranean Europe,"Dolomiti Ampezzane, Belluno (Veneto)",Trail Running,2,7,June|July|September|October,Late June–mid-July & early September–early October,€€€,1600,2660,780,1400,340,520,280,480,200,260,4,Demanding,,"VCE — Venice Marco Polo (2 h 15 by Cortina Express coach, ~€26 one way, or 2 h drive); TSF — Treviso is a similar transfer",VCE,,,trail-running|dolomites|cortina|tre-cime|cai-waymarks|rifugio|lavaredo|limestone|via-ferrata|alta-via,46.1426,12.2156,city,0,2941,southern-mediterranean,carta-dataset/trips/trail-running-italy-dolomites-cortina.md
